Price,Close,High,Low,Open,Volume,Year,Month,Day,Price Movement,Open_0,High_0,Low_0,Close_0,Volume_0,Open_1,High_1,Low_1,Close_1,Volume_1,Open_2,High_2,Low_2,Close_2,Volume_2,Open_3,High_3,Low_3,Close_3,Volume_3,Open_4,High_4,Low_4,Close_4,Volume_4,Open_5,High_5,Low_5,Close_5,Volume_5,Open_6,High_6,Low_6,Close_6,Volume_6,Today_Open
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,244.8699951171875,246.00999450683594,243.16000366210938,244.66000366210938,32204200,2025,2,19,True,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400.0,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600.0,244.66000366210938
2025-02-20,245.8300018310547,246.77999877929688,244.2899932861328,244.94000244140625,32316900,2025,2,20,True,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400.0,244.94000244140625
2025-02-21,245.5500030517578,248.69000244140625,245.22000122070312,245.9499969482422,53197400,2025,2,21,True,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,245.9499969482422
2025-02-24,247.10000610351562,248.86000061035156,244.4199981689453,244.92999267578125,51326400,2025,2,24,True,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,244.92999267578125
2025-02-25,247.0399932861328,250.0,244.91000366210938,248.0,48013300,2025,2,25,False,248.0,250.0,244.91000366210938,247.0399932861328,48013300,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,248.0
2025-02-26,240.36000061035156,244.97999572753906,239.1300048828125,244.3300018310547,44433600,2025,2,26,False,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,244.3300018310547
2025-02-27,237.3000030517578,242.4600067138672,237.05999755859375,239.41000366210938,41153600,2025,2,27,True,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,239.41000366210938
2025-02-28,241.83999633789062,242.08999633789062,230.1999969482422,236.9499969482422,56833400,2025,2,28,False,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,236.9499969482422
2025-03-03,238.02999877929688,244.02999877929688,236.11000061035156,241.7899932861328,47184000,2025,3,3,False,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,241.7899932861328
2025-03-04,235.92999267578125,240.07000732421875,234.67999267578125,237.7100067138672,53798100,2025,3,4,True,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,237.7100067138672
2025-03-05,235.74000549316406,236.5500030517578,229.22999572753906,235.4199981689453,47227600,2025,3,5,True,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,235.4199981689453
2025-03-06,235.3300018310547,237.86000061035156,233.16000366210938,234.44000244140625,45170400,2025,3,6,True,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600.0,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,234.44000244140625
2025-03-07,239.07000732421875,241.3699951171875,234.75999450683594,235.11000061035156,46273600,2025,3,7,False,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,46273600,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400.0,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600.0,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,235.11000061035156
2025-03-10,227.47999572753906,236.16000366210938,224.22000122070312,235.5399932861328,72071200,2025,3,10,False,235.5399932861328,236.16000366210938,224.22000122070312,227.47999572753906,72071200,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,46273600.0,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400.0,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600.0,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,235.5399932861328
2025-03-11,220.83999633789062,225.83999633789062,217.4499969482422,223.80999755859375,76137400,2025,3,11,False,223.80999755859375,225.83999633789062,217.4499969482422,220.83999633789062,76137400,235.5399932861328,236.16000366210938,224.22000122070312,227.47999572753906,72071200.0,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,46273600.0,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400.0,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600.0,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,223.80999755859375
