Price,Close,High,Low,Open,Volume,Year,Month,Day,Change%,5MA,30MA,Price Movement,PastClose1,PastClose2,PastClose3,RSI14,12EMA,26EMA,MACD,SignalLine
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
1986-01-06,-0.4722054125293607,-0.47241157830893654,-0.4721076703947082,-0.4723154023484638,-0.39229335170989155,1986,1,6,-0.5586220065429915,-0.472250687377782,-0.47249839536997335,1,-0.4721811054592662,-0.47217834836694367,-0.47219213647289254,1.027814978604191,-0.4724037766589048,-0.47255149322762713,-0.1476820660544878,-0.15515994992210658
1986-01-07,-0.47215358075137687,-0.4723687857640575,-0.47209021212227087,-0.4723240471134865,0.45972677710615345,1986,1,7,3.3715883478110693,-0.4722402998641546,-0.47248904891571525,0,-0.472189749429043,-0.4721696962058245,-0.472174815822234,0.9881309525347274,-0.4723920405917136,-0.47254206098156,-0.14756762492097322,-0.15513398772732462
1986-01-08,-0.4721622174322298,-0.47233456502116705,-0.4720465522899885,-0.47227216154345647,0.8687900307919424,1986,1,8,-0.543437641994514,-0.4722281819094145,-0.47247999452801387,0,-0.47213786940518954,-0.47217834836694367,-0.4721661551962303,1.0889958113561957,-0.4723834464079001,-0.47253397523197294,-0.14754040158270984,-0.15510742059355712
1986-01-09,-0.472179504435613,-0.4723687859349288,-0.47210767024674166,-0.47228080605652467,0.3902013997841694,1986,1,9,-1.0938062805326176,-0.4722229897148318,-0.47247181679623346,1,-0.47214651412520675,-0.47212641917967935,-0.472174815822234,0.10036688370225931,-0.4723788491861166,-0.4725277850731937,-0.14761536511497333,-0.1551021308335135
1986-01-10,-0.4721708530637229,-0.47236023064473026,-0.47205529651535866,-0.47229811205681727,-0.487222232284139,1986,1,10,0.5534455838136161,-0.4722177944258301,-0.47246393110566237,1,-0.4721638172196164,-0.4721350720917499,-0.47212283582979314,0.009203365731142643,-0.472373620621532,-0.47252140453117736,-0.14766895332224603,-0.15510931096503525
1986-01-13,-0.47215358075137687,-0.47236023033376845,-0.47206402512600376,-0.4722894510831196,-0.30164295589392004,1986,1,13,1.0988254824926342,-0.47220740691220287,-0.4724569215184417,1,-0.47215515779488737,-0.4721523915832056,-0.4721314972074829,0.2972165563927802,-0.47236652394470585,-0.47251420107743985,-0.14767175412132563,-0.1551156515177069
1986-01-14,-0.472136309038665,-0.4723174538193366,-0.47206402541048165,-0.47227216108991954,-0.13070411953592653,1986,1,14,1.086882540176427,-0.4722039455192478,-0.47244961991535883,1,-0.47213786940518954,-0.4721437239524885,-0.4721488336435485,0.9674038464752992,-0.47235784665030145,-0.4725062357133817,-0.14763473462326065,-0.15511284042919754
1986-01-15,-0.47209312893238836,-0.4723003430287072,-0.4720203647989224,-0.47225487076545697,0.31927214465087606,1986,1,15,2.6879946341750225,-0.4721900996169557,-0.47244115012716065,1,-0.472120581615684,-0.47212641917967935,-0.47214015753281213,1.369479088838854,-0.47234382316166196,-0.4724956215657317,-0.14746647304407087,-0.15507475921636676
1986-01-16,-0.47204994957565444,-0.47224901138583836,-0.4719679915099805,-0.4722116455848045,0.6514563753363941,1986,1,16,2.6176258145675355,-0.47216413575992344,-0.4724309281069146,0,-0.4720773613166557,-0.47210911500763125,-0.47212283582979314,1.5483833995680694,-0.4723252760861832,-0.47248255489690294,-0.14719730688994398,-0.15498697365192832
1986-01-17,-0.47208449330089525,-0.47224901111552664,-0.47196799124393335,-0.47216841969070045,0.08622842797353335,1986,1,17,-2.0406859261648997,-0.472146828554805,-0.47242275038527315,0,-0.47203414176786773,-0.4720658537514645,-0.47210551472812295,0.8647975143593158,-0.4723149272813479,-0.4724730471509301,-0.14715354087893617,-0.15490742495815127
1986-01-20,-0.47209312893238836,-0.4723003430287072,-0.47200290684291873,-0.4722029999297248,-0.564301809257454,1986,1,20,-0.5207958838676421,-0.47213471351422637,-0.472413988560935,1,-0.472068717646975,-0.4720225932462491,-0.47206221114709285,0.8648013941309585,-0.47230750677254735,-0.47246489141531356,-0.1471864046249806,-0.15485078454072865
1986-01-21,-0.47208449330089525,-0.4722917879097289,-0.47197672027857235,-0.47221164532131266,-0.4910327577719785,1986,1,21,0.5235223668051052,-0.4721243292151896,-0.47240405857175943,0,-0.4720773613166557,-0.47205720189072586,-0.4720189083177488,1.1475967603225632,-0.47229989170827147,-0.4724566920753843,-0.14721195814488,-0.15481091398660352
1986-01-22,-0.4721276728075377,-0.47229178747019673,-0.4720727542788717,-0.47220299979952035,-0.5177732875112031,1986,1,22,-2.6039933270702185,-0.47213125209122836,-0.4723947126548637,0,-0.472068717646975,-0.4720658537514645,-0.47205355082176353,0.49920656843197003,-0.4723001292621707,-0.4724523388595507,-0.14743241811155444,-0.1548259658541797
1986-01-23,-0.47215358075137687,-0.472334564271369,-0.4720465515493891,-0.47224622532238086,-0.47772934422671426,1986,1,23,-1.6041741470794517,-0.47215202062921613,-0.47238653493322225,0,-0.47211193734581103,-0.47205720189072586,-0.47206221114709285,0.17110558615578336,-0.4723043389483232,-0.4724502513814892,-0.14773609576295393,-0.15490267737880964
1986-01-24,-0.472179504435613,-0.47234311976108123,-0.472055296376444,-0.47227216097457475,-0.6103623717332685,1986,1,24,-1.631299767468219,-0.4721710616402524,-0.47237981793471207,0,-0.47213786940518954,-0.4721004625461315,-0.47205355082176353,0.014000813857404594,-0.47231191210493606,-0.47245026298941245,-0.148101572778103,-0.15504187718510112
1986-01-27,-0.4722140484606709,-0.4723858967015415,-0.47209894123191304,-0.4722981119414716,0.21812609091225887,1986,1,27,-2.209813767198631,-0.47219529490595735,-0.4723748531834581,1,-0.4721638172196164,-0.47212641917967935,-0.47209685380144484,-0.7067297526206603,-0.4723236650813377,-0.47245286478143905,-0.14854473045961405,-0.15524761019417235
1986-01-28,-0.4722054125293607,-0.47241157830893654,-0.47209894135889474,-0.4723326926261215,-0.2811195993190651,1986,1,28,0.5649412802474222,-0.4722195281115764,-0.4723695963909949,1,-0.4721983933988198,-0.4721523915832056,-0.47212283582979314,-0.5604640294938166,-0.4723322736889196,-0.47245462609276506,-0.14887625868275833,-0.15548279758318226
