,open,high,low,close,volume
2025-02-13 15:51:00,241.5850,241.6000,241.2501,241.3800,115730
2025-02-13 15:50:00,241.5700,241.6300,241.3261,241.5900,150327
2025-02-13 15:49:00,241.5300,241.6193,241.5300,241.5800,96849
2025-02-13 15:48:00,241.3873,241.5400,241.3800,241.5200,189219
2025-02-13 15:47:00,241.1700,241.3900,241.1700,241.3872,84927
2025-02-13 15:46:00,241.1600,241.2400,241.0900,241.1800,61561
2025-02-13 15:45:00,241.2235,241.2900,241.1100,241.1700,51131
2025-02-13 15:44:00,241.0300,241.3200,241.0200,241.2300,160637
2025-02-13 15:43:00,241.1900,241.1900,241.0400,241.0400,78025
2025-02-13 15:42:00,241.1800,241.2600,241.1790,241.2000,45727
2025-02-13 15:41:00,241.3400,241.3400,241.1700,241.1800,70781
2025-02-13 15:40:00,241.4200,241.4800,241.3300,241.3500,64697
2025-02-13 15:39:00,241.4000,241.4700,241.3900,241.4150,49010
2025-02-13 15:38:00,241.3400,241.4394,241.3300,241.3900,55605
2025-02-13 15:37:00,241.2900,241.3600,241.2800,241.3400,64487
2025-02-13 15:36:00,241.2800,241.3600,241.2500,241.2900,45039
2025-02-13 15:35:00,241.3400,241.3700,241.2400,241.2700,73424
2025-02-13 15:34:00,241.2400,241.3950,241.2150,241.3400,62075
2025-02-13 15:33:00,241.3850,241.4200,241.2000,241.2000,55390
2025-02-13 15:32:00,241.4400,241.5200,241.3700,241.3850,59739
2025-02-13 15:31:00,241.3500,241.4500,241.2100,241.4200,68482
2025-02-13 15:30:00,241.5450,241.5450,241.3400,241.3500,127636
2025-02-13 15:29:00,241.5700,241.5875,241.4700,241.5450,83102
2025-02-13 15:28:00,241.6000,241.7300,241.5700,241.5700,68995
2025-02-13 15:27:00,241.3500,241.5900,241.3500,241.5750,60500
2025-02-13 15:26:00,241.4299,241.4299,241.2600,241.3300,85170
2025-02-13 15:25:00,241.4371,241.5100,241.3500,241.4000,89683
2025-02-13 15:24:00,241.5700,241.6000,241.4211,241.4398,68865
2025-02-13 15:23:00,241.6800,241.6800,241.5300,241.5715,74114
2025-02-13 15:22:00,241.9100,241.9650,241.7000,241.7000,83884
2025-02-13 15:21:00,241.9500,241.9800,241.8502,241.9056,90883
2025-02-13 15:20:00,241.8700,242.0000,241.8700,241.9550,81554
2025-02-13 15:19:00,241.6750,241.8900,241.6500,241.8800,71836
2025-02-13 15:18:00,241.5400,241.6800,241.5250,241.6700,64789
2025-02-13 15:17:00,241.6038,241.6500,241.5100,241.5400,99805
2025-02-13 15:16:00,241.7900,241.8000,241.5216,241.6000,107215
2025-02-13 15:15:00,241.7706,241.8000,241.7300,241.7700,29127
2025-02-13 15:14:00,241.7900,241.7900,241.7000,241.7700,39065
2025-02-13 15:13:00,241.8900,241.8900,241.6900,241.7857,88271
2025-02-13 15:12:00,241.8400,241.9100,241.7800,241.8900,53403
2025-02-13 15:11:00,241.8100,241.8499,241.7800,241.8200,72751
2025-02-13 15:10:00,241.9911,242.0100,241.8000,241.8200,73362
2025-02-13 15:09:00,242.0400,242.0400,241.9001,241.9900,50426
2025-02-13 15:08:00,242.0800,242.1000,242.0200,242.0400,60472
2025-02-13 15:07:00,242.1100,242.1300,242.0300,242.0800,43973
2025-02-13 15:06:00,242.0400,242.1300,242.0320,242.1100,84744
2025-02-13 15:05:00,242.0700,242.0750,241.9702,242.0300,55007
2025-02-13 15:04:00,242.1000,242.1250,242.0700,242.0700,35479
2025-02-13 15:03:00,242.1500,242.2000,242.0700,242.1200,56386
2025-02-13 15:02:00,242.0902,242.2099,242.0902,242.1550,37097
2025-02-13 15:01:00,242.0600,242.1100,242.0400,242.1071,60443
2025-02-13 15:00:00,242.2200,242.2306,242.0000,242.0457,88948
2025-02-13 14:59:00,242.1486,242.2300,242.1400,242.2300,54054
2025-02-13 14:58:00,242.1500,242.2174,242.0300,242.1450,69955
2025-02-13 14:57:00,242.2100,242.2300,242.1300,242.1700,64619
2025-02-13 14:56:00,242.3250,242.3250,242.0700,242.1900,105130
2025-02-13 14:55:00,242.2300,242.3399,242.2200,242.3300,100584
2025-02-13 14:54:00,242.2000,242.2330,242.1562,242.2150,47082
2025-02-13 14:53:00,242.1599,242.2367,242.1400,242.2199,57261
2025-02-13 14:52:00,242.0877,242.2000,242.0700,242.1600,78954
2025-02-13 14:51:00,242.0500,242.1300,242.0400,242.0800,101019
2025-02-13 14:50:00,241.9084,242.0500,241.8950,242.0450,88346
2025-02-13 14:49:00,241.8600,241.9200,241.8251,241.9000,25272
2025-02-13 14:48:00,241.8310,241.9400,241.8310,241.8900,47204
2025-02-13 14:47:00,241.7710,241.8600,241.7300,241.8400,37343
2025-02-13 14:46:00,241.7300,241.8000,241.7250,241.7799,36329
2025-02-13 14:45:00,241.8100,241.8300,241.7300,241.7600,37054
2025-02-13 14:44:00,241.8114,241.8314,241.7400,241.8200,24329
2025-02-13 14:43:00,241.7550,241.8700,241.7400,241.8100,39849
2025-02-13 14:42:00,241.8800,241.9600,241.7098,241.7400,53686
2025-02-13 14:41:00,241.7700,241.9200,241.7600,241.8537,46379
2025-02-13 14:40:00,241.8200,241.8200,241.6600,241.7550,55566
2025-02-13 14:39:00,242.0116,242.0116,241.8100,241.8100,40350
2025-02-13 14:38:00,241.9401,242.0800,241.9150,242.0000,99202
2025-02-13 14:37:00,241.8200,241.9500,241.8098,241.9400,57487
2025-02-13 14:36:00,241.8700,241.9300,241.8000,241.8400,47044
2025-02-13 14:35:00,241.8700,241.9300,241.8100,241.8702,40638
2025-02-13 14:34:00,241.8400,241.9200,241.8000,241.8700,41493
2025-02-13 14:33:00,241.6700,241.8400,241.6600,241.8300,50438
2025-02-13 14:32:00,241.6200,241.6800,241.6000,241.6750,26674
2025-02-13 14:31:00,241.7100,241.7300,241.6200,241.6300,34367
2025-02-13 14:30:00,241.7501,241.7700,241.5900,241.7281,37650
2025-02-13 14:29:00,241.7650,241.8300,241.7501,241.7699,26811
2025-02-13 14:28:00,241.8000,241.8200,241.7500,241.7600,43821
2025-02-13 14:27:00,241.7400,241.9000,241.7300,241.8000,47728
2025-02-13 14:26:00,241.7300,241.7800,241.6500,241.7500,50351
2025-02-13 14:25:00,241.6700,241.7599,241.5500,241.7400,60616
2025-02-13 14:24:00,241.7800,241.7900,241.6400,241.6700,49837
2025-02-13 14:23:00,241.7000,241.7891,241.6100,241.7800,70188
2025-02-13 14:22:00,241.8880,241.9800,241.6800,241.6900,90374
2025-02-13 14:21:00,241.9050,241.9100,241.8600,241.8900,36134
2025-02-13 14:20:00,241.8800,241.9150,241.8300,241.9001,53761
